PeuJesse	AF068259	Pseudomonas jessenii	CIP 105274	
PeuReine	AM293565	Pseudomonas reinekei	MT1	
PeuUmson	AF468450	Pseudomonas umsongensis	Ps 3-10	
PeuBaeti	FM201274	Pseudomonas baetica	a390	
Peu12502	MN396717	Pseudomonas	sp. PS14	
PeuMorav	AY970952	Pseudomonas moraviensis	CCM 7280	
PeuKoree	AF468452	Pseudomonas koreensis	Ps 9-14	
PeuSpeci	HG764746	Pseudomonas granadensis	F-278,770	
PeuAgar7	AKBQ01000002	Pseudomonas agarici NCPPB 2289	NCPPB 2289	
PeuColeo	KM888184	Pseudomonas coleopterorum	Esc2Am	
PeuRhizo	AY152673	Pseudomonas rhizosphaerae	IH5	
PeuAbiet	AJ011504	Pseudomonas abietaniphila	ATCC 700689	
PeuGrami	Y11150	Pseudomonas graminis	DSM 11363	
PeuLutea	AY364537	Pseudomonas lutea	OK2	
PeuBohem	MG190030	Pseudomonas bohemica	IA19	
Peu12501	MN382268	Pseudomonas	sp. PS24	
PeuKuyke	JF749828	Pseudomonas kuykendallii	H2	
PeuS6944	LT009706	Pseudomonas wadenswilerensis	CCOS 864	
Peu12505	CP035952	Pseudomonas tructae	SNU WT1	
PeuS3939	AJJP01000212	Pseudomonas donghuensis	HYS	
PeuS7942	MH428812	Pseudomonas	sp. WCHPs060044	
PeuVrano	AY970951	Pseudomonas vranovensis	CCM 7279	
PeuAlk14	AY324319	Pseudomonas alkylphenolica	KL28	
Peu12499	KY979145	Pseudomonas	sp. WCHP16	
PeuS6413	KY471137	Pseudomonas	sp. GSL-010	
PeuBr186	LC514379	Pseudomonas brassicae	MAFF 212427	
PeuJapon	AB126621	Pseudomonas japonica	IAM 15071	
PeuAsple	AB021397	Pseudomonas asplenii	ATCC 23835	
PeuPutid	D84020	Pseudomonas putida	IAM 1236	
PeuMosse	AF072688	Pseudomonas mosselii	CIP 105259	
PeuSpec7	HF930598	Pseudomonas soli	F-279,208	
PeuSich2	QKVM01000000	Pseudomonas sichuanensis	WCHPs060039	
PeuEntom	AY907566	Pseudomonas entomophila	L48	
PeuSpec2	HF674459	Pseudomonas guariconensis	PCAVU11	
PeuInef3	OPYN01000000	Pseudomonas inefficax	JV551A3	
PeuPleco	AB009457	Pseudomonas plecoglossicida	FPC951	
PeuMonte	AF064458	Pseudomonas monteilii	CIP 104883	
PeuS7401	MH517510	Pseudomonas	sp. RYU5	
UncP4374	LT718462	Pseudomonas persica	VKh13	
UncP4381	LT718474	Pseudomonas	sp. VM14	Pseudomonas asiatica
PeuTaiwa	EU103629	Pseudomonas taiwanensis	BCRC 17751	
PeuFulva	AB060136	Pseudomonas fulva	NRIC 0180	
PeuParaf	AB060132	Pseudomonas parafulva	AJ 2129	
PeuS7944	MK680061	Pseudomonas	sp. BML3	
UncP4359	LT718459	Pseudomonas alloputida	Kh7	
PeuCremo	AB060137	Pseudomonas cremoricolorata	IAM 1541	
PeuOryzi	D84004	Pseudomonas oryzihabitans	IAM 1568	
PeuS6946	LT009707	Pseudomonas reidholzensis	CCOS 865	
Peu12497	LC500601	Pseudomonas	sp. MC042	
PeuMari6	FR775439	Pseudomonas marincola	KMM 3042	
PeuSeget	AY770691	Pseudomonas segetis	FR1439	
PeuS3341	LC011944	Pseudomonas glareae	KMM 9500	
PeuPohan	DQ339144	Pseudomonas pohangensis	H3-R18	
PeuTaean	FJ424813	Pseudomonas taeanensis MS-3	MS-3	
PeuKirki	MK159379	Pseudomonas kirkiae	FRB 229	
PeuS6982	LT601028	Pseudomonas	sp. A31	
PeuGuine	AM491810	Pseudomonas guineae	LMG 24016	
PeuLepto	MK104124	Pseudomonas leptonychotis	CCM 8849	
PeudPeli	AM114534	Pseudomonas peli	R-20805	
PeuCuatr	EU791281	Pseudomonas cuatrocienegasensis	1N	
PeuCaeni	EU620679	Pseudomonas caeni DSM 24390	HY-14	
PeuBorbo	AM114527	Pseudomonas borbori	R-20821	
PeuPunon	JQ344321	Pseudomonas punonensis	LMT03	
PeuS4910	KP306892	Pseudomonas turukhanskensis	IB1.1	
PeuSelen	FJ422810	Pseudomonas seleniipraecipitans	CA5	
PeuDaron	MK159357	Pseudomonas daroniae	FRB228	
PeuDryad	MK159369	Pseudomonas dryadis	FRB230	
PeuArgen	AY691188	Pseudomonas argentinensis	CH01	
PeuStram	D84023	Pseudomonas straminea	IAM1598	
PeuFlave	U01916	Pseudomonas flavescens	B62	
PeuBenze	FM208263	Pseudomonas benzenivorans	DSM 8628	
PeuTherm	AJ311980	Pseudomonas thermotolerans	CM3	
PeuIndic	AF302795	Pseudomonas indica	IMT37	
PeuS6332	KY290607	Pseudomonas	sp. BBB3-04	
PeuAzo12	KC709664	Pseudomonas tarimensis	MA-69	
PeuAzoti	AB189452	Pseudomonas azotifigens	6H33b	
PeuS7400	MH355542	Pseudomonas	sp. T3	
PeuSpec3	KJ720680	Pseudomonas matsuisoli	CC-MHH0089	
PeuBal13	CP007511	Pseudomonas balearica DSM 6083	DSM 6083	
PeuAerug	HE978271	Pseudomonas aeruginosa	DSM 50071	
PeuOtiti	AY953147	Pseudomonas otitidis	MCC10330	
PeuPse12	AB109887	Pseudomonas oleovorans	KF707	
PeuResi2	AB021373	Pseudomonas resinovorans	ATCC 14235	
PeuAlcal	D84006	Pseudomonas alcaligenes	IAM12411	
PeuCitro	Z76659	Pseudomonas citronellolis	DSM 50332	
PeuDelhi	DQ339153	Pseudomonas delhiensis	RLD-1	
PeuJinj6	AB681927	Pseudomonas jinjuensis	NBRC 103047	
PeuS6522	LC145037	Pseudomonas humi	CCA 1	
PeuKnack	AF039489	Pseudomonas knackmussii	B13	
PeuPanip	EF424401	Pseudomonas panipatensis	Esp-1	
PeuNitro	AM088473	Pseudomonas nitroreducens	IAM 1439	
PeuSpec4	HM246143	Pseudomonas nitritireducens	WZBFD3-5A2	
PeuLuteo	D84002	Pseudomonas luteola	IAM 13000	
PeuZeshu	JN411093	Pseudomonas zeshuii	BY-1	
PeuLute6	AJ871471	Pseudomonas asuensis	CP155-2	
PeuDurif	EU046271	Pseudomonas duriflava	HR2	
PeuOleo2	D84018	Pseudomonas oleovorans	IAM 1508	
PeuS7945	MK759856	Pseudomonas	sp. RY24	
PeuPsyc2	AJ575816	Pseudomonas psychrotolerans	C36	
PeuHussa	KF582606	Pseudomonas hussainii	CC-AMH-11	
PeuS7399	MH137036	Pseudomonas	sp. TC11	
PeuS5755	KU248754	Pseudomonas fluvialis	ASS-1	
PeuS6296	KX910087	Pseudomonas	sp. ZYSR67-Z	
PeuSpe76	JQ864237	Pseudomonas guguanensis	CC-G9A	
PeuLinyi	HM246142	Pseudomonas linyingensis	LYBRD3-7	
PeuSagit	JQ277453	Pseudomonas sagittaria	CC-OPY-1	
PeuGuan5	LT629780	Pseudomonas guangdongensis	CCTCC 2012022	
SrpFlexi	GU269546	Pseudomonas flexibilis	ATCC 29606	
PeuHydro	MK248116	Pseudomonas hydrolytica	DSWY01	
PeuMendo	D84016	Pseudomonas mendocina	NCIB 10541	
PeuS9279	KX712072	Pseudomonas khazarica	TBZ2	
Peu12498	MK907288	Pseudomonas	sp. MY50	
PeuOleov	DQ842018	Pseudomonas oleovorans subsp. lubricantis	RS1	
PeuCheng	EU307111	Pseudomonas chengduensis	MBR	
PeuAlca2	AB030583	Pseudomonas alcaliphila	AL15-21	
PeuToyot	AB453701	Pseudomonas toyotomiensis	HT-3	
PeuAngu4	AB021376	Pseudomonas anguilliseptica	NCIMB 1949	
PeuCompo	FN429930	Pseudomonas composti	C2	
PeuS7002	MF083697	Pseudomonas	sp. 68	
PeuKunmi	JQ246444	Pseudomonas kunmingensis	HL22-2	
PeuSt263	CP002881	Pseudomonas stutzeri	CGMCC 1.1803	
PeuSpec9	JQ762275	Pseudomonas zhaodongensis	NEAU-ST5-21	
PeuS7943	MH917718	Pseudomonas	sp. GL14	
